,Accession,HieVi_l0,HieVi_l1,HieVi_l2,HieVi_l3
58,AB897757,5071,127,708,742
59,AB903967,-1,1145,1066,310
60,AB910392,2846,751,703,557
61,AB910393,2317,1115,1040,794
62,AB910602,348,-1,-1,-1
63,AB916497,-1,-1,-1,-1
64,AB920995,2762,-1,-1,-1
65,AB930182,4927,1165,386,310
66,AB931172,339,-1,-1,-1
67,AB937974,-1,-1,-1,-1
68,AB967974,-1,-1,-1,-1
69,AB971354,4,1521,1390,1070
70,AB981169,1125,-1,-1,850
71,AB981170,361,-1,-1,6
72,AB983711,2762,-1,-1,-1
73,AC171169,-1,1432,595,742
74,ACSJ01000013,-1,-1,-1,-1
75,ACSJ01000015,-1,-1,-1,-1
76,ACSJ01000017,2322,-1,-1,-1
77,ACSJ01000018,-1,-1,-1,-1
78,AE002163,1009,-1,-1,1232
79,AF009630,-1,128,124,113
80,AF011378,1808,8,124,113
81,AF020713,-1,1392,1280,310
82,AF022214,4405,1098,1314,1015
83,AF059242,-1,-1,-1,-1
84,AF059243,-1,-1,-1,-1
85,AF063097,-1,766,716,562
86,AF064539,2002,-1,-1,7
87,AF065411,588,-1,-1,-1
88,AF068845,4057,1703,1567,239
89,AF069308,-1,-1,-1,107
90,AF069529,-1,-1,-1,-1
91,AF074945,433,-1,-1,-1
92,AF083977,1548,905,849,650
93,AF085222,2686,597,560,199
94,AF109874,2401,-1,-1,-1
95,AF115102,2586,599,562,199
96,AF115103,2616,-1,-1,199
97,AF125163,1075,3,3,2
98,AF125520,2221,215,204,273
99,AF133242,87,-1,-1,-1
100,AF145054,-1,-1,-1,-1
101,AF155037,343,521,494,394
102,AF157835,-1,-1,-1,294
103,AF158101,5500,633,595,742
104,AF158600,2648,-1,1569,431
105,AF165214,2028,-1,-1,526
106,AF176025,2362,9,7,8
107,AF176027,234,99,96,89
108,AF176028,187,99,96,89
109,AF176029,184,99,96,89
110,AF176030,187,99,96,89
111,AF176031,184,99,96,89
112,AF176032,187,99,96,89
113,AF176033,184,99,96,89
114,AF176034,260,99,96,89
115,AF189021,1855,-1,-1,-1
116,AF191796,331,-1,-1,-1
117,AF191797,331,-1,-1,-1
118,AF195902,2030,-1,-1,154
119,AF217253,2290,4,4,3
120,AF222060,899,1072,1003,766
121,AF227250,6,76,70,65
122,AF232233,-1,-1,-1,528
123,AF234172,2261,14,12,14
124,AF234173,2261,14,12,14
125,AF242738,2324,292,276,228
126,AF246223,-1,-1,-1,-1
127,AF271693,4998,555,525,1015
128,AF274751,157,-1,-1,90
129,AF299300,234,99,96,89
130,AF299301,234,99,96,89
131,AF299302,234,99,96,89
132,AF299303,-1,99,96,89
133,AF299304,228,99,96,89
134,AF299305,234,99,96,89
135,AF299306,220,99,96,89
136,AF299307,220,99,96,89
137,AF299308,220,99,96,89
138,AF299309,228,99,96,89
139,AF299310,228,99,96,89
140,AF299311,-1,99,96,89
141,AF299312,152,-1,-1,9
142,AF299313,234,99,96,89
143,AF299314,228,99,96,89
144,AF301375,588,-1,-1,-1
145,AF304433,2411,-1,-1,589
146,AF306496,-1,-1,-1,-1
147,AF320576,5253,848,793,742
148,AF323668,-1,-1,-1,-1
149,AF323669,2365,-1,-1,10
150,AF323670,2391,10,8,11
151,AF323671,454,-1,-1,-1
152,AF323672,-1,-1,-1,-1
153,AF323673,-1,-1,-1,-1
154,AF334111,-1,-1,-1,-1
155,AF335538,2151,-1,-1,-1
156,AF338467,1498,-1,-1,-1
157,AF349457,2402,61,55,52
158,AF396866,1335,-1,-1,12
159,AF399011,-1,1460,1338,571
160,AF424781,2960,11,9,202
161,AF424782,2983,431,406,202
162,AF424783,2815,12,10,202
163,AF428260,86,-1,-1,-1
164,AF440571,477,293,277,229
165,AF440695,701,13,11,13
166,AF447491,1969,-1,-1,28
167,AF448724,2302,-1,-1,-1
168,AF452449,310,-1,-1,-1
169,AF453500,310,-1,-1,-1
170,AF454431,167,288,272,227
171,AF489521,2392,-1,-1,598
172,AF493143,2465,372,786,1076
173,AF503408,2262,14,12,14
174,AF513032,654,1458,1336,1046
175,AF513033,664,796,743,1046
176,AF527608,2290,4,4,3
177,AF543311,1787,15,13,60
178,AF547430,5461,900,843,645
179,AF547987,-1,-1,-1,-1
180,AJ006589,2574,-1,-1,518
181,AJ131519,2025,-1,-1,15
182,AJ242593,-1,-1,-1,769
183,AJ245616,2362,9,7,8
184,AJ251789,-1,-1,-1,-1
185,AJ251805,-1,1462,1339,1031
186,AJ270057,1280,38,36,30
187,AJ278322,2930,-1,-1,-1
188,AJ298298,2009,-1,-1,-1
189,AJ302074,2735,59,53,50
190,AJ304858,-1,-1,-1,-1
191,AJ312240,2330,-1,128,118
192,AJ318471,2955,1462,1339,1031
193,AJ344259,449,-1,-1,16
194,AJ414696,449,16,14,16
195,AJ421943,-1,-1,-1,-1
196,AJ505558,3104,126,123,111
197,AJ536073,597,17,15,17
198,AJ550635,1280,38,36,30
199,AJ550940,2571,-1,-1,518
200,AJ556162,-1,-1,-1,280
201,AJ560763,1719,18,16,18
202,AJ564013,1999,1382,1271,985
203,AJ567472,-1,-1,-1,-1
204,AJ609634,2307,-1,-1,503
205,AJ630128,-1,-1,173,156
206,AJ635161,291,-1,-1,-1
207,AJ697969,4622,1479,1355,571
208,AJ748296,449,16,14,16
209,AJ783769,455,-1,122,110
210,AJ842011,-1,-1,-1,-1
211,AJ854042,-1,-1,-1,-1
212,AJ875026,448,-1,-1,-1
213,AJ888457,482,300,284,235
214,AJ969242,87,-1,-1,-1
215,AJ972879,-1,-1,-1,-1
216,AM076770,-1,904,848,649
217,AM084414,2533,19,1064,1031
218,AM084415,2992,1429,1312,1013
219,AM087120,476,20,17,19
220,AM087121,476,20,17,19
221,AM087122,476,-1,-1,19
222,AM087123,476,20,17,19
223,AM156909,-1,-1,168,807
224,AM183667,-1,1462,1339,1031
225,AM265638,-1,126,123,111
226,AM265639,-1,-1,-1,-1
227,AM419438,702,-1,-1,-1
228,AM491472,-1,-1,-1,775
229,AM749121,1020,21,18,20
230,AM749441,3648,1470,1347,1040
231,AM910650,-1,1679,1546,1217
232,AM910651,3024,126,123,111
233,AP000363,-1,215,204,273
234,AP000400,-1,-1,-1,280
235,AP000422,-1,215,204,273
236,AP001553,2998,-1,19,202
237,AP004402,2221,215,204,273
238,AP005153,-1,215,204,273
239,AP005154,-1,215,204,273
240,AP008953,3153,-1,1164,202
241,AP008954,3153,-1,1164,202
242,AP008979,-1,-1,60,55
243,AP008983,2322,-1,-1,-1
244,AP008986,1781,496,468,363
245,AP009146,622,22,20,21
246,AP009363,2999,431,406,202
247,AP009390,4919,359,386,310
248,AP009624,2028,-1,-1,526
249,AP011113,-1,633,595,742
250,AP011616,340,69,63,58
251,AP011617,340,69,63,58
252,AP011955,2865,23,21,202
253,AP011956,2865,23,21,202
254,AP012341,3029,431,406,202
255,AP012529,-1,215,204,273
256,AP012530,2190,24,351,280
257,AP012531,-1,215,204,273
258,AP012532,-1,215,204,273
259,AP012533,2152,215,204,273
260,AP012534,2072,362,340,273
261,AP012535,-1,-1,-1,273
262,AP012536,2049,25,22,278
263,AP012537,2049,25,22,278
264,AP012538,2190,24,351,280
265,AP012539,2190,24,351,280
266,AP012540,2190,24,351,280
267,AP013029,-1,1165,386,310
268,AP013057,2554,-1,-1,22
269,AP013538,1516,-1,-1,653
270,AP013539,-1,-1,-1,-1
271,AP013540,-1,-1,-1,-1
272,AP013541,1417,-1,-1,651
273,AP013542,-1,-1,-1,651
274,AP013543,1407,-1,-1,652
275,AP013544,-1,-1,-1,-1
276,AP013545,1417,-1,-1,651
277,AP013546,1055,-1,-1,-1
278,AP013547,1055,-1,-1,-1
279,AP013548,1055,-1,-1,-1
280,AP013549,-1,-1,-1,-1
281,AP014629,2027,-1,-1,23
282,AP014684,-1,-1,-1,-1
283,AP014693,4640,381,356,571
284,AP014714,5459,633,595,742
285,AP014715,5459,633,595,742
286,AP014858,-1,-1,-1,742
287,AP014887,1732,-1,-1,-1
288,AP014888,-1,-1,-1,1051
289,AP014889,-1,-1,-1,742
290,AP014927,-1,381,356,571
291,AP017903,-1,-1,-1,-1
292,AP017924,4749,26,23,571
293,AP017925,4749,26,23,571
294,AP017972,4699,765,715,571
295,AP018361,-1,-1,-1,-1
296,AP018375,5049,1145,1066,310
297,AP018399,-1,-1,-1,742
298,AP018462,4280,27,24,645
299,AP018463,4280,27,24,645
300,AP018469,4228,28,25,239
301,AP018470,4228,28,25,239
302,AP018471,4228,28,25,239
303,AP018476,4383,1098,1314,1015
304,AP018477,3964,555,525,1015
305,AP018478,3964,555,525,1015
306,AP018479,4416,1098,1314,1015
307,AP018480,4404,1098,1314,1015
308,AP018485,4240,786,734,1015
309,AP018486,-1,-1,-1,1015
310,AP018487,4041,1434,1315,103
311,AP018714,4949,359,386,310
312,AP018715,-1,359,386,310
313,AP018813,5448,633,595,742
314,AP018814,5553,633,595,742
315,AP018815,5089,1313,1214,938
316,AP018932,5633,633,595,742
317,AP019415,1806,-1,-1,-1
318,AP019417,3388,415,391,313
319,AP019418,4762,1460,1338,571
320,AP019521,-1,633,595,742
321,AP019522,-1,1145,1066,310
322,AP019524,4048,29,26,24
323,AP019525,4048,29,26,24
324,AP019527,2336,334,313,259
325,AP019535,-1,1313,1214,938
326,AP019559,5574,1432,595,742
327,AP019560,2883,413,389,202
328,AP019561,-1,413,389,202
329,AP019562,2883,413,389,202
330,AY007505,-1,-1,-1,-1
331,AY027935,1063,-1,-1,1231
332,AY029185,720,30,27,25
333,AY048850,424,-1,-1,-1
334,AY052766,2273,409,86,3
335,AY055382,1798,31,28,26
336,AY078382,3146,1679,1546,1217
337,AY082070,1532,-1,-1,-1
338,AY095314,-1,-1,-1,-1
339,AY129330,-1,-1,463,360
340,AY129331,4432,888,831,593
341,AY129332,4288,786,734,1015
342,AY129333,3917,-1,-1,-1
343,AY129334,4608,573,542,645
344,AY129335,4095,596,559,587
345,AY129336,4148,194,182,360
346,AY129337,4866,631,593,208
347,AY129338,-1,1097,1026,593
348,AY129339,4504,32,29,396
349,AY131267,-1,-1,-1,-1
350,AY133112,1485,-1,-1,-1
351,AY135486,1401,-1,726,562
352,AY135739,1450,766,716,562
353,AY150271,1700,-1,30,660
354,AY176327,4879,1145,1066,310
355,AY190604,899,1072,1003,766
356,AY212251,-1,-1,-1,-1
357,AY216660,3309,910,1059,807
358,AY236756,-1,-1,-1,-1
359,AY242528,310,-1,-1,-1
360,AY247822,2712,1080,1339,1031
361,AY251033,-1,766,716,562
362,AY257527,597,17,15,17
363,AY264774,-1,1080,1339,1031
364,AY264775,-1,-1,1339,1031
365,AY264776,-1,-1,1339,1031
366,AY264777,2919,1080,1339,1031
367,AY264778,2919,1080,1339,1031
368,AY266303,5289,633,595,742
369,AY283928,5286,926,595,742
370,AY288927,2947,33,31,1013
371,AY299121,3129,66,60,55
372,AY303349,-1,633,595,742
373,AY308796,-1,1136,1059,807
374,AY319521,-1,-1,-1,562
375,AY320035,1973,-1,-1,-1
376,AY324828,365,-1,-1,-1
377,AY328852,1732,-1,-1,27
378,AY328853,1732,34,32,27
379,AY343333,5503,633,595,742
380,AY349011,2294,-1,-1,117
381,AY357582,-1,-1,-1,-1
382,AY368235,1787,15,13,60
383,AY369265,1788,70,64,60
384,AY370673,2947,33,31,1013
385,AY370674,-1,1429,1312,1013
386,AY370762,-1,-1,-1,-1
387,AY374414,-1,-1,-1,-1
388,AY374448,2003,-1,48,45
389,AY375531,5398,633,595,742
390,AY388628,483,-1,-1,-1
391,AY394005,-1,262,247,209
392,AY423772,488,-1,-1,-1
393,AY441783,561,1528,1397,1075
394,AY453853,1969,35,33,28
395,AY459533,1985,-1,-1,-1
396,AY459535,1985,-1,-1,-1
397,AY500152,5013,555,525,1015
398,AY500153,4959,555,525,1015
399,AY505112,1655,207,195,171
400,AY508486,2816,-1,-1,202
401,AY510084,-1,207,195,171
402,AY526908,720,30,27,25
403,AY526909,720,30,27,25
404,AY539836,1536,36,34,29
405,AY543070,5391,1432,595,742
406,AY569307,401,-1,-1,-1
407,AY575774,1522,266,250,212
408,AY576273,-1,-1,-1,-1
409,AY576796,-1,-1,-1,-1
410,AY583234,433,-1,-1,-1
411,AY583235,433,-1,-1,-1
412,AY583236,433,-1,-1,-1
413,AY587007,5391,1432,595,742
414,AY605066,-1,-1,-1,-1
415,AY605181,1645,-1,-1,-1
416,AY616033,-1,-1,-1,-1
417,AY616446,-1,-1,-1,-1
418,AY625898,-1,165,152,141
419,AY657002,1138,37,35,956
420,AY682195,-1,583,549,424
421,AY692264,5391,1432,595,742
422,AY699705,2705,595,558,431
423,AY701338,597,-1,-1,-1
424,AY714348,-1,-1,-1,-1
425,AY722806,291,-1,-1,-1
426,AY730274,-1,-1,-1,668
427,AY736146,2059,-1,-1,-1
428,AY739900,1615,-1,-1,163
429,AY751298,273,288,272,227
430,AY766464,-1,-1,-1,-1
431,AY769964,1280,38,36,30
432,AY772740,2505,-1,-1,31
433,AY848684,-1,1528,1397,1075
434,AY848685,-1,1528,1397,1075
435,AY848686,-1,1528,1397,1075
436,AY848687,-1,1528,1397,1075
437,AY848688,561,1528,1397,1075
438,AY848689,559,1528,1397,1075
439,AY855346,-1,-1,-1,-1
440,AY894696,-1,-1,-1,-1
441,AY939843,1496,39,37,32
442,AY939844,3816,89,173,156
443,AY940168,3900,186,173,156
444,AY950802,633,-1,-1,201
445,AY954948,-1,-1,-1,-1
446,AY954949,-1,-1,-1,1046
447,AY954950,-1,-1,-1,202
448,AY954951,3138,-1,1164,202
449,AY954952,3176,1257,1164,202
450,AY954953,-1,-1,-1,202
451,AY954954,2644,-1,-1,445
452,AY954955,-1,-1,-1,202
453,AY954956,-1,431,406,202
454,AY954957,2983,431,406,202
455,AY954958,-1,-1,-1,202
456,AY954959,-1,-1,-1,-1
457,AY954960,3124,-1,1164,202
458,AY954961,-1,1257,1164,202
459,AY954962,2998,-1,19,202
460,AY954963,3021,231,218,202
461,AY954964,-1,-1,-1,202
462,AY954965,2991,40,38,202
463,AY954966,3068,41,1164,202
464,AY954967,3068,41,1164,202
465,AY954968,2982,-1,-1,202
466,AY954969,5146,1145,1066,310
467,AY954970,4816,1145,1066,310
468,AY962392,5397,633,595,742
469,AY967407,-1,633,595,742
470,AY986977,-1,-1,-1,-1
471,BK000583,2290,4,4,3
472,BK010471,2994,979,915,700
473,BK010646,837,1489,1365,1055
474,BK013337,424,-1,-1,-1
475,BK013338,425,-1,-1,-1
476,BK013345,452,-1,-1,-1
477,BK013346,452,-1,-1,-1
478,BK013347,452,-1,-1,-1
479,BK059157,-1,-1,-1,-1
480,BK059162,-1,-1,-1,-1
481,BK059895,1493,-1,-1,819
482,BK061308,3834,42,39,33
483,BK061309,3834,42,39,33
484,BK061310,3835,42,39,33
485,BK061311,3835,42,39,33
486,BK061312,-1,42,39,33
487,BK061417,15,-1,-1,-1
488,BK061418,15,-1,-1,-1
489,BK061419,15,-1,-1,-1
490,BK061420,-1,-1,-1,-1
491,BK061421,14,-1,-1,-1
492,BK061422,14,-1,-1,-1
493,BK061423,14,-1,-1,-1
494,BK061424,14,43,40,34
495,BK061425,14,43,40,34
496,BK061426,17,-1,-1,35
497,BK061427,17,-1,-1,35
498,BK061428,17,-1,-1,-1
499,BK061429,-1,-1,-1,-1
500,BK061430,17,-1,-1,-1
501,BK061475,1105,-1,-1,0
502,BK061476,-1,-1,-1,525
503,BK061477,-1,-1,-1,-1
504,BK061478,1724,44,41,36
505,BK061479,1597,713,674,528
506,BK061480,1986,-1,-1,-1
507,BK061585,2300,165,152,141
508,BK061586,1599,713,674,528
509,BK061587,-1,-1,-1,524
510,BK061588,-1,-1,-1,526
511,BK061589,-1,-1,-1,-1
512,BK061590,-1,-1,-1,-1
513,BK061591,-1,-1,-1,141
514,BK062760,318,45,42,37
515,BK063464,1283,46,43,38
516,BK063666,938,-1,-1,-1
517,BK063667,938,-1,-1,-1
518,BK063668,938,-1,-1,-1
519,BK063669,-1,-1,-1,-1
520,BK063670,-1,-1,-1,-1
521,BK063671,-1,-1,-1,-1
522,BK063672,-1,-1,-1,-1
523,BK063673,-1,-1,-1,-1
524,BK063674,520,-1,-1,-1
525,BK063675,520,-1,-1,-1
526,BK063676,-1,-1,-1,-1
527,BK063677,-1,-1,-1,-1
528,BK063678,-1,-1,-1,-1
529,BK063679,-1,-1,-1,-1
530,BK063680,756,-1,-1,-1
531,BK067782,586,-1,-1,-1
532,BK067783,580,-1,-1,39
533,BK067784,587,-1,-1,-1
534,BK067785,580,-1,-1,-1
535,BK067786,584,-1,-1,-1
536,BK067787,584,-1,-1,-1
537,BK067788,580,-1,-1,-1
538,BK067789,587,-1,-1,-1
539,BK067790,586,-1,-1,-1
540,BK067791,580,-1,-1,39
541,BK067792,580,-1,-1,-1
542,BTJB01000001,84,-1,-1,-1
543,BX571876,1486,-1,-1,-1
544,CAJCJZ010000002,4555,398,373,296
545,CAJDJX010000002,1871,426,401,931
546,CAJDJY010000002,4878,359,386,310
547,CAJDJZ010000002,-1,359,386,310
548,CAJDKA010000002,4876,359,386,310
549,CAJDKB010000002,1858,-1,-1,931
550,CAJDKF010000002,1871,426,401,931
551,CAKLQA020000001,-1,-1,-1,968
552,CAKLQA020000002,-1,-1,-1,-1
553,CAKLQA020000003,1466,-1,-1,-1
554,CAKLQB020000001,2576,347,326,268
555,CAKLQB020000002,304,-1,-1,-1
556,CAKLQC020000001,5360,633,595,742
557,CAKLQD020000001,5360,633,595,742
558,CAKLQE020000001,5041,1092,1022,742
559,CAKLQF020000022,-1,-1,-1,-1
560,CAKLQF020000023,435,47,44,40
561,CAKLQF020000027,-1,-1,-1,-1
562,CAKLQF020000037,373,48,45,41
563,CAKLQG020000001,2576,347,326,268
564,CAKLQH020000015,5041,1092,1022,742
565,CAKLQH020000019,435,47,44,40
566,CAKLQH020000038,-1,-1,-1,-1
567,CAKLQH020000047,-1,-1,-1,-1
568,CAKLQH020000048,-1,-1,-1,-1
569,CAKLQH020000049,-1,-1,-1,-1
570,CAKLQH020000051,373,48,45,41
571,CAKLQH020000053,-1,-1,-1,-1
572,CAKLQH020000058,-1,-1,-1,-1
573,CAKLQH020000060,-1,-1,-1,-1
574,CAKLQH020000063,-1,-1,-1,-1
575,CAVLHH020000002,3861,1685,1339,1031
576,CAVLHI020000002,-1,1449,1327,807
577,CAWVNJ020000002,-1,347,326,268
578,CP000315,-1,-1,-1,-1
579,CP000622,1536,36,34,29
580,CP000623,1114,-1,1073,818
581,CP000624,1109,1082,1012,776
582,CP000625,1969,-1,-1,-1
583,CP000711,2179,-1,-1,-1
584,CP000917,5267,1432,595,742
585,CP002495,1022,56,50,47
586,CP002889,-1,-1,-1,-1
587,CP003186,-1,-1,-1,-1
588,CP004084,250,99,96,89
589,CP008753,1113,1185,1073,818
590,CP011103,-1,-1,-1,-1
591,CP011970,2328,49,46,42
592,CP013282,597,17,15,17
593,CP013974,-1,-1,-1,-1
594,CP017837,-1,-1,-1,-1
595,CP017838,-1,-1,-1,-1
596,CP017905,324,-1,-1,-1
597,CP017906,324,-1,-1,-1
598,CP018841,-1,-1,-1,-1
599,CP019719,1747,-1,-1,43
600,CP025874,-1,-1,-1,-1
601,CP025900,-1,-1,-1,-1
602,CP025901,-1,-1,-1,-1
603,CP025902,-1,-1,-1,-1
604,CP025907,-1,-1,-1,-1
605,CP025923,1372,-1,-1,-1
606,CP027117,-1,-1,-1,-1
607,CP038007,2003,54,48,45
608,CP045566,41,1684,1551,1218
609,CP050061,-1,-1,-1,-1
610,CP051272,-1,-1,-1,-1
611,CP051275,-1,-1,-1,-1
612,CP051278,2061,-1,-1,44
613,CP051279,-1,-1,-1,3
614,CP051285,2272,91,86,3
615,CP051288,2061,-1,-1,44
616,CP052843,-1,-1,-1,-1
617,CP053388,2193,50,47,46
618,CP054387,2193,50,47,46
619,CP058330,2192,55,49,46
620,CP058906,-1,-1,-1,-1
621,CP059058,3313,210,198,245
622,CP060690,582,310,292,241
623,CP062422,-1,-1,-1,202
624,CP062426,2864,-1,-1,202
625,CP062427,3121,51,1164,202
626,CP062430,-1,-1,-1,202
627,CP062434,3007,431,406,202
628,CP062435,2814,52,10,202
629,CP062436,2852,-1,-1,202
630,CP062442,3006,431,406,202
631,CP062444,3007,431,406,202
632,CP062445,2814,52,10,202
633,CP062447,2867,65,59,202
634,CP062451,3121,51,1164,202
635,CP062454,3120,53,1164,202
636,CP062457,2814,52,10,202
637,CP062461,3006,431,406,202
638,CP062462,3151,1159,1164,202
639,CP062992,5512,633,595,742
640,CP063417,-1,-1,-1,-1
641,CP063964,-1,-1,-1,-1
642,CP063968,-1,-1,-1,-1
643,CP067347,2327,49,46,42
644,CP067352,-1,-1,-1,-1
645,CP069347,-1,-1,-1,-1
646,CP069348,-1,-1,-1,42
647,CP071049,3042,-1,1164,202
648,CP072507,2003,54,48,45
649,CP084202,804,-1,-1,-1
650,CP091911,1031,56,50,47
651,CP101890,2192,55,49,46
652,CP101896,2192,55,49,46
653,CP103806,-1,-1,-1,-1
654,CP103976,1562,-1,-1,243
655,CP111102,2221,215,204,273
656,CP115603,2002,-1,-1,7
657,CP115737,-1,-1,-1,-1
658,CP124119,-1,-1,-1,241
659,CP124927,-1,-1,-1,-1
660,CP124930,1031,56,50,47
661,CP124934,1031,56,50,47
662,CP124938,1030,56,50,47
663,CP124941,-1,-1,-1,47
664,CP124942,1030,56,50,47
665,CP124949,1030,56,50,47
666,CP124952,-1,56,50,47
667,CP124955,1022,56,50,47
668,CP124959,1031,56,50,47
669,CP124962,-1,-1,50,47
670,CU468217,1492,-1,-1,-1
671,D00624,-1,-1,-1,-1
672,D89074,310,-1,-1,-1
673,DQ003260,2272,91,86,3
674,DQ003637,-1,-1,-1,769
675,DQ003638,-1,1406,1291,310
676,DQ003639,2329,-1,-1,158
677,DQ003640,2134,-1,513,405
678,DQ003641,-1,-1,-1,-1
679,DQ003642,2332,-1,-1,1004
680,DQ004855,-1,1406,1291,310
681,DQ029335,2419,131,324,267
682,DQ054536,-1,128,124,113
683,DQ079869,156,169,156,145
684,DQ079870,-1,-1,-1,48
685,DQ079871,158,-1,-1,-1
686,DQ079872,-1,-1,-1,-1
687,DQ079873,164,57,51,48
688,DQ079874,164,57,51,48
689,DQ079875,165,-1,-1,48
690,DQ079876,165,-1,-1,48
691,DQ079877,161,288,272,227
692,DQ079878,158,-1,-1,-1
693,DQ079879,-1,-1,-1,-1
694,DQ079880,152,-1,-1,9
695,DQ079881,-1,99,96,89
696,DQ079882,219,99,96,89
697,DQ079883,217,99,96,89
698,DQ079884,-1,99,96,89
699,DQ079885,219,99,96,89
700,DQ079886,-1,99,96,89
701,DQ079887,-1,99,96,89
702,DQ079888,219,99,96,89
703,DQ079889,219,99,96,89
704,DQ079890,217,99,96,89
705,DQ079891,219,99,96,89
706,DQ079892,157,-1,-1,90
707,DQ079893,-1,-1,-1,89
708,DQ079894,219,99,96,89
709,DQ079895,-1,99,96,89
710,DQ079896,179,288,272,227
711,DQ079897,179,288,272,227
712,DQ079898,168,288,272,227
713,DQ079899,-1,288,272,227
714,DQ079900,-1,288,272,227
715,DQ079901,151,-1,270,226
716,DQ079902,151,-1,-1,-1
717,DQ079903,-1,288,272,227
718,DQ079904,168,288,272,227
719,DQ079905,168,288,272,227
720,DQ079906,151,286,270,226
721,DQ079907,161,288,272,227
722,DQ079908,154,58,52,49
723,DQ079909,154,58,52,49
724,DQ085810,155,-1,-1,-1
725,DQ087285,1113,1185,1073,818
726,DQ111067,2533,19,1064,1031
727,DQ113772,2735,59,53,50
728,DQ114220,1064,-1,-1,-1
729,DQ121662,-1,-1,-1,-1
730,DQ123818,-1,-1,-1,-1
731,DQ126339,1702,218,207,660
732,DQ149023,3941,186,173,156
733,DQ150593,2202,60,54,51
734,DQ163912,1734,-1,-1,524
735,DQ163913,-1,1459,1337,1028
736,DQ163914,-1,266,250,212
737,DQ163915,2747,483,457,320
738,DQ163916,3673,1470,1347,1040
739,DQ163917,4465,1313,1214,938
740,DQ203855,-1,-1,-1,-1
741,DQ222851,2203,60,54,51
742,DQ222853,2203,60,54,51
743,DQ222855,2202,60,54,51
744,DQ227763,-1,-1,-1,113
745,DQ227764,1808,8,124,113
746,DQ289555,2202,60,54,51
747,DQ289556,2203,60,54,51
748,DQ320509,2030,-1,-1,154
749,DQ340064,1286,-1,-1,57
750,DQ372923,1857,-1,-1,-1
751,DQ386162,1020,21,18,20
752,DQ394806,2402,61,55,52
753,DQ394807,2415,62,56,301
754,DQ394808,2415,62,56,301
755,DQ394809,2415,62,56,301
756,DQ394810,2415,-1,56,301
757,DQ398041,-1,888,831,593
758,DQ398042,-1,422,398,318
759,DQ398043,4329,1098,1314,1015
760,DQ398044,4464,299,843,645
761,DQ398045,5026,491,463,360
762,DQ398046,5461,900,843,645
763,DQ398047,-1,965,900,396
764,DQ398048,-1,573,542,645
765,DQ398049,-1,122,117,645
766,DQ398050,4956,491,463,360
767,DQ398051,-1,965,900,396
768,DQ398052,3908,1417,1300,1003
769,DQ398053,-1,631,593,208
770,DQ426904,1200,63,57,53
771,DQ426905,1200,63,57,53
772,DQ431235,1190,197,185,165
773,DQ453159,1708,-1,-1,-1
774,DQ466086,1598,64,58,54
775,DQ490056,-1,-1,-1,-1
776,DQ499600,-1,-1,-1,-1
777,DQ500118,1769,-1,-1,946
778,DQ517338,3176,1257,1164,202
779,DQ529280,5347,633,595,742
780,DQ530359,3177,1257,1164,202
781,DQ530360,3177,1257,1164,202
782,DQ530361,2867,65,59,202
783,DQ530362,3161,1257,1164,202
784,DQ535032,-1,-1,-1,-1
785,DQ631426,-1,262,247,209
786,DQ674738,967,-1,-1,945
